# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-03 19:27:41 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
"#    USGS 08331160 RIO GRANDE NEAR BOSQUE FARMS, NM"
# -----------------------------------------------------------------------------------
#
# Data provided for site 08331160
#            TS   parameter     statistic     Description
"#         99876       00060     00003     Discharge, cubic feet per second (Mean)"
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     <  Actual value is known to be less than reported value.
#     e  Value has been estimated.
# 
agency_cd       site_no datetime        99876_00060_00003       99876_00060_00003_cd
5s      15s     20d     14n     10s
USGS    08331160        2007-09-30      51.9    A
USGS    08331160        2007-10-01      26.0    A
USGS    08331160        2007-10-02      101     A
USGS    08331160        2007-10-03      103     A:e
USGS    08331160        2007-10-04      80.0    A:e
USGS    08331160        2007-10-05      55.0    A:e
USGS    08331160        2007-10-06      43.3    A
USGS    08331160        2007-10-07      45.6    A
USGS    08331160        2007-10-08      47.9    A
USGS    08331160        2007-10-09      49.2    A
USGS    08331160        2007-10-10      50.0    A
USGS    08331160        2007-10-11      49.8    A
USGS    08331160        2007-10-12      50.1    A
USGS    08331160        2007-10-13      50.2    A
USGS    08331160        2007-10-14      50.7    A
USGS    08331160        2007-10-15      50.3    A
USGS    08331160        2007-10-16      49.6    A
USGS    08331160        2007-10-17      47.5    A
USGS    08331160        2007-10-18      43.1    A
USGS    08331160        2007-10-19      37.4    A
USGS    08331160        2007-10-20      34.3    A
USGS    08331160        2007-10-21      26.8    A
USGS    08331160        2007-10-22      27.9    A
USGS    08331160        2007-10-23      47.6    A
USGS    08331160        2007-10-24      47.9    A
USGS    08331160        2007-10-25      34.5    A
USGS    08331160        2007-10-26      32.3    A
USGS    08331160        2007-10-27      32.1    A
USGS    08331160        2007-10-28      32.1    A
USGS    08331160        2007-10-29      32.1    A
USGS    08331160        2007-10-30      32.1    A
USGS    08331160        2007-10-31      120     A
